team,rpi_ranking,elo
Texas A&M,1,1816.16
Florida,2,1776.47
Oklahoma,3,1822.39
Florida State,4,1790.34
Arkansas,5,1792.54
Tennessee,6,1771.99
LSU,7,1742.03
UCLA,8,1775.38
Texas,9,1800.87
South Carolina,10,1727.75
Arizona,11,1737.39
Virginia Tech,12,1716.8
Stanford,13,1724.06
Clemson,14,1763.09
Duke,15,1690.48
Oregon,16,1767.85
Alabama,17,1697.31
Auburn,18,1624.52
Texas Tech,19,1744.7
Ole Miss,20,1646.68
Mississippi State,21,1663.51
Ohio State,22,1702.33
Nebraska,23,1691.73
Virginia,24,1657.1
Oklahoma State,25,1647.81
California,26,1638.72
Liberty,27,1671.1
Georgia,28,1572.68
FAU,29,1653.86
UCF,30,1584.15
Nevada,31,1634.36
Washington,32,1609.6
North Carolina,33,1643.97
Kentucky,34,1560.88
South Florida,35,1628.97
San Diego State,36,1612.33
Grand Canyon,37,1685.27
Arizona State,38,1599.32
Georgia Tech,39,1530.1
Missouri,40,1556.53
Indiana,41,1577.02
North Florida,42,1578.24
Michigan,43,1567.8
Texas State,44,1541.43
Northwestern,45,1617.45
BYU,46,1583.26
Coastal Carolina,47,1505.96
Iowa,48,1578.82
Omaha,49,1593.3
Charlotte,50,1536.47
Chattanooga,51,1576.71
Louisville,52,1490.88
Purdue,53,1514.45
Central Arkansas,54,1529.55
Cal State Fullerton,55,1587.38
Wisconsin,56,1531.26
North Texas,57,1490.06
UNCG,58,1505.78
Baylor,59,1547.26
Louisiana,60,1537.3
Connecticut,61,1502.53
Eastern Kentucky,62,1547.2
Iowa State,63,1569.99
Fresno State,64,1548.0
Syracuse,65,1477.29
Stetson,66,1436.58
Saint John's,67,1540.27
Belmont,68,1491.65
North Carolina State,69,1461.13
Saint Mary's College,70,1488.59
Southeastern Louisiana,71,1598.55
Kansas,72,1457.09
McNeese,73,1590.66
Marshall,74,1505.39
Western Kentucky,75,1538.24
Marist,76,1576.69
Boise State,77,1492.86
Southern Illinois,78,1517.46
Wichita State,79,1476.58
Samford,80,1453.34
Louisiana Tech,81,1462.98
Binghamton,82,1514.09
Jacksonville State,83,1507.6
Mercer,84,1470.44
Houston,85,1417.18
Penn State,86,1469.55
Radford,87,1452.97
Austin Peay,88,1469.81
Princeton,89,1496.93
Harvard,90,1485.1
FIU,91,1405.98
Notre Dame,92,1468.69
East Carolina,93,1470.05
Saint Thomas,94,1480.38
ULM,95,1475.02
North Alabama,96,1415.35
Georgia Southern,97,1432.24
Ohio,98,1440.12
Wofford,99,1416.93
Troy,100,1475.77
South Carolina Upstate,101,1447.56
Minnesota,102,1447.45
Tarleton State,103,1463.63
Middle Tennessee,104,1442.06
Boston College,105,1405.1
Loyola-Marymount,106,1411.05
South Dakota State,107,1466.06
Utah State,108,1376.56
Villanova,109,1415.51
Dayton,110,1472.29
James Madison,111,1461.43
Elon,112,1449.62
Hawaii,113,1433.7
Idaho State,114,1481.78
Sam Houston State,115,1462.56
Pittsburgh,116,1419.84
FGCU,117,1404.85
Southern Miss,118,1400.88
Northern Iowa,119,1479.49
Santa Clara,120,1465.92
Boston University,121,1471.78
Maryland,122,1360.7
Delaware,123,1522.02
Illinois,124,1375.29
Miami (OH),125,1457.65
Appalachian State,126,1439.69
UTA,127,1332.84
UNLV,128,1404.2
Long Beach State,129,1437.09
Seton Hall,130,1405.43
New Mexico State,131,1432.11
Seattle University,132,1340.22
Utah,133,1344.57
California Baptist,134,1352.94
Incarnate Word,135,1426.69
Brown,136,1432.81
Fordham,137,1347.72
Akron,138,1380.58
Ball State,139,1445.31
Michigan State,140,1379.65
Creighton,141,1456.2
Columbia,142,1432.71
Illinois State,143,1404.18
Eastern Illinois,144,1471.68
Winthrop,145,1366.81
Charleston,146,1453.66
Butler,147,1370.9
Army,148,1422.26
Lipscomb,149,1349.99
UAB,150,1393.81
Nicholls,151,1471.41
Saint Joseph's,152,1343.86
Lamar,153,1332.68
Central Michigan,154,1412.57
UC Santa Barbara,155,1385.19
Oregon State,156,1424.47
San Jose State,157,1415.69
Southern Utah,158,1376.34
Longwood,159,1374.42
South Alabama,160,1382.98
Jacksonville,161,1320.75
Siena,162,1386.56
UNCW,163,1380.44
Saint Louis,164,1415.67
Providence,165,1346.07
Southeast Missouri,166,1405.09
Iona,167,1361.45
Hofstra,168,1387.43
Sacramento State,169,1415.82
Florida A&M,170,1412.15
Stephen F. Austin,171,1339.22
South Dakota,172,1345.7
UTEP,173,1375.43
Tulsa,174,1310.18
George Washington,175,1369.99
Cornell,176,1253.15
Campbell,177,1412.69
Cal State Northridge,178,1382.85
New Mexico,179,1297.57
UTSA,180,1312.36
Bradley,181,1316.48
Lehigh,182,1410.65
Long Island,183,1399.97
Charleston Southern,184,1321.64
Rutgers,185,1324.35
Dartmouth,186,1293.09
Stony Brook,187,1358.69
Western Carolina,188,1281.66
San Diego,189,1304.06
Robert Morris,190,1372.96
SIUE,191,1394.86
Abilene Christian,192,1324.51
Northern Illinois,193,1295.42
Tennessee State,194,1271.3
Missouri State,195,1371.78
Weber State,196,1364.3
Howard,197,1422.11
UC Riverside,198,1301.79
North Dakota,199,1268.64
North Dakota State,200,1283.0
Cleveland State,201,1324.89
Colorado State,202,1312.73
Toledo,203,1310.09
IU Indianapolis,204,1306.1
Yale,205,1251.19
Fairfield,206,1351.96
Loyola-Chicago,207,1304.53
Prairie View A&M,208,1327.32
Utah Valley,209,1284.28
Sacred Heart,210,1238.89
Saint Francis (PA),211,1356.52
Lindenwood,212,1292.29
Albany,213,1299.85
Gardner-Webb,214,1284.94
Southern Indiana,215,1328.18
Purdue Fort Wayne,216,1291.84
Northern Kentucky,217,1280.7
Indiana State,218,1294.28
Furman,219,1220.31
Northern Colorado,220,1317.44
Murray State,221,1345.69
Quinnipiac,222,1251.54
UC Davis,223,1231.12
Drake,224,1278.05
Memphis,225,1248.04
Canisius,226,1291.47
UMBC,227,1296.32
Pacific,228,1250.46
Bucknell,229,1239.66
Houston Christian,230,1242.85
Bethune-Cookman,231,1246.22
Utah Tech,232,1193.12
Georgia State,233,1183.63
Buffalo,234,1264.84
East Tennessee State,235,1258.39
Tennessee Tech,236,1246.34
Kennesaw State,237,1194.95
Western Michigan,238,1246.5
Evansville,239,1199.36
UC San Diego,240,1277.63
Central Connecticut,241,1259.05
Kent State,242,1167.51
Queens,243,1248.09
Bowling Green,244,1178.6
Alabama State,245,1263.15
Presbyterian College,246,1196.18
Valparaiso,247,1226.3
Fairleigh Dickinson,248,1237.09
George Mason,249,1185.61
UMass,250,1202.15
Rider,251,1263.04
Bellarmine,252,1148.06
Cal State Bakersfield,253,1181.94
Oakland,254,1202.45
Towson,255,1220.63
Green Bay,256,1231.65
Jackson State,257,1263.49
DePaul,258,1183.9
Georgetown,259,1140.96
Bryant,260,1248.13
Portland State,261,1173.37
Le Moyne,262,1222.95
Colgate,263,1204.87
Tennessee-Martin,264,1182.76
West Georgia,265,1144.79
Lafayette,266,1105.63
Wagner,267,1192.81
UMass-Lowell,268,1209.63
North Carolina Central,269,1193.09
Cal Poly,270,1174.33
Delaware State,271,1217.57
Penn,272,1082.78
Rhode Island,273,1129.04
Texas Southern,274,1178.76
Niagara,275,1206.69
Southern,276,1227.92
South Carolina State,277,1182.96
East Texas A&M,278,1110.49
Morgan State,279,1218.25
Norfolk State,280,1232.42
Stonehill,281,1160.93
Texas A&M-Corpus Christi,282,1179.0
Monmouth,283,1092.7
UMKC,284,1099.31
Detroit,285,1110.19
Alabama A&M,286,1157.28
Youngstown State,287,1125.0
North Carolina A&T,288,1134.61
Morehead State,289,1102.85
Northwestern State,290,1122.56
Arkansas-Pine Bluff,291,1143.56
UIC,292,1104.03
Merrimack,293,1120.04
Manhattan,294,1089.65
Saint Bonaventure,295,1119.28
Montana,296,1060.72
Hampton,297,1099.2
Western Illinois,298,1093.11
Drexel,299,1086.26
Holy Cross,300,1031.46
Mount Saint Mary's,301,1036.43
Saint Peter's,302,1091.37
Maine,303,1101.14
Grambling State,304,1136.49
Mercyhurst,305,1040.78
Alcorn State,306,1078.52
Coppin State,307,1016.79
Mississippi Valley State,308,976.32
Maryland Eastern Shore,309,964.29
